\\Hourly Demand Report,,,
\\Created at 2024-01-31 07:30:07,,,
\\For 2023,,,
Date,Hour,Market Demand,Ontario Demand
2023-01-01,1,15130,13514
2023-01-01,2,15064,13225
2023-01-01,3,14923,12726
2023-01-01,4,15116,12629
2023-01-01,5,15200,12625
2023-01-01,6,15163,12636
2023-01-01,7,15596,13051
2023-01-01,8,15254,13396
2023-01-01,9,15827,13773
2023-01-01,10,16171,14035
2023-01-01,11,16733,14381
2023-01-01,12,17523,14973
2023-01-01,13,17539,15298
2023-01-01,14,17434,15519
2023-01-01,15,16973,15690
2023-01-01,16,17155,15961
2023-01-01,17,17705,16131
2023-01-01,18,18412,16705
2023-01-01,19,18138,16251
2023-01-01,20,17540,15980
2023-01-01,21,17251,15559
2023-01-01,22,16781,15066
2023-01-01,23,16369,14337
2023-01-01,24,15707,13723
2023-01-02,1,15633,13207
2023-01-02,2,15238,12755
2023-01-02,3,15314,12724
2023-01-02,4,15416,12603
2023-01-02,5,15269,12634
2023-01-02,6,15595,13116
2023-01-02,7,15828,13894
2023-01-02,8,16124,14481
2023-01-02,9,16583,15073
2023-01-02,10,17335,15469
2023-01-02,11,17668,15821
2023-01-02,12,17767,15911
2023-01-02,13,17382,15724
2023-01-02,14,17988,15792
2023-01-02,15,18517,16215
2023-01-02,16,18510,16429
2023-01-02,17,19258,17131
2023-01-02,18,19878,17837
2023-01-02,19,19771,17493
2023-01-02,20,19632,17198
2023-01-02,21,18596,16845
2023-01-02,22,17729,16172
2023-01-02,23,17055,15365
2023-01-02,24,16503,14599
2023-01-03,1,16506,14212
2023-01-03,2,16435,13851
2023-01-03,3,16097,13512
2023-01-03,4,15849,13423
2023-01-03,5,15969,13607
2023-01-03,6,16567,14026
2023-01-03,7,17702,15140
2023-01-03,8,17995,16024
2023-01-03,9,18861,16590
2023-01-03,10,18950,16869
2023-01-03,11,20330,17526
2023-01-03,12,20501,17686
2023-01-03,13,20247,17506
2023-01-03,14,20519,17608
2023-01-03,15,20744,17741
2023-01-03,16,20785,17836
2023-01-03,17,20939,18219
2023-01-03,18,21949,18857
2023-01-03,19,21301,18325
2023-01-03,20,20844,18049
2023-01-03,21,20021,17631
2023-01-03,22,19403,16955
2023-01-03,23,18815,16143
2023-01-03,24,18201,15411
2023-01-04,1,17579,14802
