\\Hourly Demand Report,,,
\\Created at 2018-05-22 08:00:00,,,
\\For 2005,,,
Date,Hour,Market Demand,Ontario Demand
2005-01-01,1,16672,15016
2005-01-01,2,16262,14470
2005-01-01,3,16043,14015
2005-01-01,4,15192,13622
2005-01-01,5,14911,13545
2005-01-01,6,15006,13588
2005-01-01,7,15240,13727
2005-01-01,8,15663,14093
2005-01-01,9,16037,14457
2005-01-01,10,16597,15017
2005-01-01,11,16929,15560
2005-01-01,12,17273,16039
2005-01-01,13,17454,16293
2005-01-01,14,17435,16366
2005-01-01,15,17420,16281
2005-01-01,16,17440,16406
2005-01-01,17,17929,17086
2005-01-01,18,19367,18386
2005-01-01,19,19477,18368
2005-01-01,20,19251,18215
2005-01-01,21,19320,17911
2005-01-01,22,18778,17494
2005-01-01,23,18013,16830
2005-01-01,24,17272,15973
2005-01-02,1,16702,15182
2005-01-02,2,16127,14707
2005-01-02,3,15814,14394
2005-01-02,4,15697,14277
2005-01-02,5,15937,14367
2005-01-02,6,15881,14541
2005-01-02,7,16503,14968
2005-01-02,8,17239,15549
2005-01-02,9,17696,16282
2005-01-02,10,18516,17126
2005-01-02,11,19087,17802
2005-01-02,12,19694,18225
2005-01-02,13,19805,18495
2005-01-02,14,19813,18579
2005-01-02,15,19662,18393
2005-01-02,16,19800,18431
2005-01-02,17,20121,18985
2005-01-02,18,21339,20044
2005-01-02,19,20853,19619
2005-01-02,20,20364,19170
2005-01-02,21,20183,18714
2005-01-02,22,19456,18137
2005-01-02,23,18695,17236
2005-01-02,24,17926,16242
2005-01-03,1,17062,15487
2005-01-03,2,16581,15045
2005-01-03,3,16172,14843
2005-01-03,4,16255,14753
2005-01-03,5,16407,14828
2005-01-03,6,17036,15298
2005-01-03,7,18551,16332
2005-01-03,8,19608,18058
2005-01-03,9,20372,18706
2005-01-03,10,20603,19121
2005-01-03,11,20780,19484
2005-01-03,12,21060,19649
2005-01-03,13,21317,19682
2005-01-03,14,21356,19415
2005-01-03,15,20868,19360
2005-01-03,16,20875,19562
2005-01-03,17,21686,20498
2005-01-03,18,22867,21757
2005-01-03,19,22760,21494
2005-01-03,20,22345,20985
2005-01-03,21,21922,20461
2005-01-03,22,21072,19666
2005-01-03,23,19935,18429
2005-01-03,24,18490,17109
2005-01-04,1,17594,16141
2005-01-04,2,17313,15590
2005-01-04,3,16990,15338
2005-01-04,4,16981,15253
2005-01-04,5,16921,15443
2005-01-04,6,17814,16040
2005-01-04,7,19246,17478
2005-01-04,8,20982,19354
2005-01-04,9,21624,19959
2005-01-04,10,21667,19955
2005-01-04,11,21834,20017
2005-01-04,12,21967,19987
2005-01-04,13,21602,19856
2005-01-04,14,21754,19753
2005-01-04,15,21760,19693
2005-01-04,16,21826,20092
2005-01-04,17,22600,20923
2005-01-04,18,23656,22222
2005-01-04,19,23637,22118
